,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stabat,3.761,3.761,26.11,85,99,1.13,ID,1650938942
1,narsaq,60.9167,60.9167,3.12,90,98,0.68,GL,1650938943
2,stans,46.9585,46.9585,7.94,94,75,0.51,CH,1650938945
3,mataura,-46.1927,-46.1927,11.38,72,67,4.1,NZ,1650938946
4,port alfred,-33.5906,-33.5906,14.1,81,5,5.2,ZA,1650938948
5,kapaa,22.0752,22.0752,26.99,89,40,7.72,US,1650938949
6,ushuaia,-54.8,-54.8,3.33,99,100,0.93,AR,1650938684
7,saskylakh,71.9167,71.9167,-11.18,92,72,0.83,RU,1650938953
8,sitka,57.0531,57.0531,8.94,71,75,3.09,US,1650938954
9,hasaki,35.7333,35.7333,22.94,86,100,7.04,JP,1650938955
10,rikitea,-23.1203,-23.1203,24.41,74,96,8.65,PF,1650938957
11,bredasdorp,-34.5322,-34.5322,11.27,83,4,1.49,ZA,1650938958
12,atuona,-9.8,-9.8,26.0,78,24,7.38,PF,1650938885
13,kaitangata,-46.2817,-46.2817,13.36,66,94,6.8,NZ,1650938961
14,krasnoselkup,65.7,65.7,-10.35,88,92,1.66,RU,1650938962
15,souillac,-20.5167,-20.5167,24.21,83,75,5.14,MU,1650938963
16,college,64.8569,64.8569,11.18,36,75,2.06,US,1650938965
17,muros,42.7762,42.7762,11.49,86,54,3.33,ES,1650938966
18,fortuna,40.5982,40.5982,13.38,80,100,1.79,US,1650938968
19,labuhan,-6.8844,-6.8844,28.99,74,75,0.68,ID,1650938969
20,puerto ayora,-0.7393,-0.7393,21.86,92,91,2.71,EC,1650938879
21,new norfolk,-42.7826,-42.7826,16.6,57,5,0.85,AU,1650938971
22,erenhot,43.6475,43.6475,2.81,25,2,9.02,CN,1650938974
23,platanos,37.6667,37.6667,13.38,70,20,2.26,GR,1650938975
24,fairbanks,64.8378,64.8378,11.19,36,0,2.06,US,1650938977
25,cape town,-33.9258,-33.9258,16.06,72,71,6.26,ZA,1650938878
26,sao filipe,14.8961,14.8961,23.72,69,83,5.27,CV,1650938979
27,beringovskiy,63.05,63.05,-0.53,98,100,7.73,RU,1650938726
28,bluff,-46.6,-46.6,11.56,82,100,11.06,NZ,1650938885
29,jamestown,42.097,42.097,14.45,78,100,4.12,US,1650938885
30,teguise,29.0605,29.0605,17.12,82,75,1.03,ES,1650938984
31,kahului,20.8947,20.8947,27.01,69,40,11.32,US,1650938726
32,albany,42.6001,42.6001,13.64,42,95,0.89,US,1650938705
33,east london,-33.0153,-33.0153,15.04,74,1,4.71,ZA,1650938988
34,ulladulla,-35.35,-35.35,18.76,68,98,2.04,AU,1650938819
35,komsomolskiy,40.4272,40.4272,16.4,67,100,2.06,UZ,1650938990
36,vila franca do campo,37.7167,37.7167,15.11,85,83,2.58,PT,1650938992
37,emilio carranza,19.9711,19.9711,25.23,88,1,3.0,MX,1650938993
38,akyab,20.15,20.15,29.26,71,20,2.96,MM,1650938994
39,kemin,42.7846,42.7846,11.92,58,6,1.73,KG,1650938773
40,saint-philippe,-21.3585,-21.3585,21.77,75,36,4.88,RE,1650938998
41,portland,45.5234,45.5234,14.42,73,100,0.89,US,1650938174
42,skibbereen,51.55,51.55,9.5,91,8,4.33,IE,1650939000
43,salinopolis,-0.6136,-0.6136,25.85,88,95,4.28,BR,1650939002
44,touros,-5.1989,-5.1989,24.83,89,41,3.79,BR,1650938962
45,buriti dos lopes,-3.175,-3.175,23.21,98,96,1.67,BR,1650939006
46,vaini,-21.2,-21.2,22.09,88,100,5.66,TO,1650939007
47,dikson,73.5069,73.5069,-11.32,93,100,1.79,RU,1650938880
48,russell,32.3502,32.3502,23.78,94,100,0.0,US,1650939010
49,zhangye,38.9342,38.9342,17.1,20,15,4.42,CN,1650939011
50,bilma,18.6853,18.6853,30.24,12,0,0.83,NE,1650939013
51,raton,36.9034,36.9034,7.34,49,0,4.12,US,1650939014
52,klaksvik,62.2266,62.2266,3.51,69,100,5.99,FO,1650939015
53,otjiwarongo,-20.4637,-20.4637,16.03,46,5,3.91,NA,1650939017
54,cherskiy,68.75,68.75,-0.95,72,100,2.0,RU,1650939018
55,khatanga,71.9667,71.9667,-11.96,90,100,3.06,RU,1650938888
56,mar del plata,-38.0023,-38.0023,16.04,76,6,4.47,AR,1650938813
57,tondano,1.3038,1.3038,27.05,64,38,0.36,ID,1650939022
58,hermanus,-34.4187,-34.4187,12.95,76,1,2.61,ZA,1650938978
59,nikolskoye,59.7035,59.7035,5.4,98,100,2.0,RU,1650939024
60,ixtapa,20.7,20.7,23.57,83,0,3.09,MX,1650938732
61,puerto carreno,6.189,6.189,26.33,82,100,2.75,CO,1650939028
62,tautira,-17.7333,-17.7333,27.37,73,10,4.57,PF,1650939029
63,ahipara,-35.1667,-35.1667,20.3,62,40,3.98,NZ,1650939031
64,verkhnyaya inta,65.9811,65.9811,-0.21,83,100,2.81,RU,1650939032
65,homer,59.6425,59.6425,6.94,85,100,4.47,US,1650939034
66,wajima,37.4,37.4,17.36,80,100,2.36,JP,1650939035
67,mirnyy,62.5353,62.5353,0.13,43,29,0.89,RU,1650939036
68,san antonio,29.4241,29.4241,18.83,86,100,6.69,US,1650938838
69,mizdah,31.4451,31.4451,14.4,43,48,5.15,LY,1650939039
70,kaputa,-8.4689,-8.4689,20.01,89,99,0.85,ZM,1650939040
71,cabo san lucas,22.8909,22.8909,26.17,44,0,2.57,MX,1650938832
72,esperance,-33.8667,-33.8667,21.53,59,56,7.34,AU,1650939046
73,dingle,10.9995,10.9995,30.75,65,100,4.59,PH,1650939048
74,sorland,67.667,67.667,0.41,63,100,10.82,NO,1650939049
75,phan thiet,10.9333,10.9333,30.42,61,77,1.05,VN,1650938831
76,vardo,70.3705,70.3705,-3.7,68,60,14.19,NO,1650939052
77,busselton,-33.65,-33.65,19.3,51,72,6.79,AU,1650938886
78,yellowknife,62.456,62.456,3.42,90,100,4.76,CA,1650938913
79,hambantota,6.1241,6.1241,27.22,82,17,1.83,LK,1650939055
80,mayor pablo lagerenza,-19.9309,-19.9309,31.13,43,1,6.18,PY,1650939057
81,bengkulu,-3.8004,-3.8004,26.67,74,100,1.71,ID,1650939058
82,tiksi,71.6872,71.6872,-13.95,89,63,0.8,RU,1650939059
83,raduzhnyy,62.0961,62.0961,-2.44,85,98,2.71,RU,1650939061
84,sao miguel do araguaia,-13.275,-13.275,23.97,64,6,0.92,BR,1650938925
85,banjar,-8.19,-8.19,29.84,69,100,1.29,ID,1650939063
86,pevek,69.7008,69.7008,-1.21,70,100,1.85,RU,1650939064
87,lompoc,34.6391,34.6391,20.43,79,0,7.15,US,1650939066
88,ryotsu,38.0833,38.0833,18.41,67,100,2.03,JP,1650939067
89,butaritari,3.0707,3.0707,26.94,83,26,5.61,KI,1650939069
90,mendi,-6.1761,-6.1761,19.55,73,94,1.71,PG,1650939070
91,kushima,31.4583,31.4583,25.45,79,99,5.23,JP,1650939071
92,carnarvon,-24.8667,-24.8667,24.04,78,40,4.12,AU,1650939073
93,melfi,40.9965,40.9965,6.94,88,64,2.68,IT,1650939074
94,ponta do sol,32.6667,32.6667,15.95,76,23,4.3,PT,1650939075
95,adwa,14.1646,14.1646,20.31,51,77,1.1,ET,1650939078
96,tres arroyos,-38.3739,-38.3739,12.29,29,35,2.58,AR,1650939079
97,empalme,27.9667,27.9667,29.64,57,0,5.66,MX,1650939081
98,bay roberts,47.5999,47.5999,3.7,96,100,5.36,CA,1650939083
99,acarau,-2.8856,-2.8856,25.41,86,49,4.66,BR,1650939085
100,leua,48.2156,48.2156,6.42,94,2,1.93,SK,1650939086
101,barrow,71.2906,71.2906,-8.99,73,40,5.66,US,1650939087
102,hithadhoo,-0.6,-0.6,29.11,72,100,2.77,MV,1650939089
103,zhigansk,66.7697,66.7697,-6.71,84,83,1.71,RU,1650939090
104,tuktoyaktuk,69.4541,69.4541,-0.17,94,94,2.92,CA,1650939091
105,palu,-0.8917,-0.8917,31.27,62,33,1.56,ID,1650939036
106,ribeira grande,38.5167,38.5167,14.94,70,71,3.1,PT,1650938955
107,filingue,14.3521,14.3521,27.76,12,93,3.52,NE,1650939096
108,lyambir,54.2817,54.2817,11.31,83,100,5.58,RU,1650939097
109,waipawa,-41.4122,-41.4122,16.04,61,9,1.89,NZ,1650939100
110,cockburn town,21.4612,21.4612,25.07,72,12,6.6,TC,1650939101
111,kabo,7.6994,7.6994,24.49,72,100,1.53,CF,1650939103
112,thessalon,46.2501,46.2501,4.16,95,95,5.53,CA,1650939104
113,tasiilaq,65.6145,65.6145,-1.91,97,100,2.7,GL,1650939105
114,lamar,33.6668,33.6668,15.95,59,0,5.14,US,1650939107
115,farsund,58.0948,58.0948,6.64,100,14,2.77,NO,1650939108
116,khipro,25.8285,25.8285,29.05,48,0,6.59,PK,1650939110
117,champerico,14.3,14.3,29.22,66,54,3.0,GT,1650939111
118,mariestad,58.7097,58.7097,7.26,81,80,3.55,SE,1650939112
119,ilulissat,69.2167,69.2167,-6.99,93,100,0.0,GL,1650939114
120,tinton falls,40.3043,40.3043,11.92,77,100,3.09,US,1650939117
121,punta arenas,-53.15,-53.15,1.06,75,20,3.09,CL,1650939006
122,kloulklubed,7.0419,7.0419,28.28,74,100,7.23,PW,1650938839
123,san policarpo,12.1791,12.1791,28.29,84,96,5.4,PH,1650939121
124,lodwar,3.1191,3.1191,25.46,69,100,1.99,KE,1650939122
125,fare,-16.7,-16.7,27.7,70,8,4.52,PF,1650939124
126,talnakh,69.4865,69.4865,-14.33,94,100,3.4,RU,1650939125
127,quatre cocos,-20.2078,-20.2078,24.06,74,44,7.23,MU,1650939127
128,puerto quijarro,-17.7833,-17.7833,26.47,63,22,1.4,BO,1650939129
129,juneau,58.3019,58.3019,6.79,94,100,5.66,US,1650938972
130,san patricio,28.017,28.017,25.92,89,100,4.87,US,1650939132
131,norman wells,65.282,65.282,2.65,93,100,2.68,CA,1650938881
132,ugoofaaru,5.6667,5.6667,29.09,69,48,1.62,MV,1650939135
133,umba,66.6871,66.6871,0.36,96,100,1.88,RU,1650939136
134,constitucion,-35.3333,-35.3333,13.14,85,100,5.95,CL,1650939137
135,arraial do cabo,-22.9661,-22.9661,23.8,82,0,6.42,BR,1650939139
136,kathu,7.9178,7.9178,30.39,84,100,1.23,TH,1650939140
137,pangnirtung,66.1451,66.1451,-17.66,100,100,2.41,CA,1650939141
138,carlsbad,33.1581,33.1581,27.61,41,0,4.63,US,1650939066
139,carnot,4.9409,4.9409,21.07,95,100,0.29,CF,1650939144
140,cururupu,-1.8283,-1.8283,23.67,98,98,1.51,BR,1650939145
141,mahebourg,-20.4081,-20.4081,24.16,83,75,5.14,MU,1650939147
142,dhidhdhoo,6.8833,6.8833,29.16,70,67,1.25,MV,1650939129
143,tuatapere,-46.1333,-46.1333,13.34,66,47,4.06,NZ,1650939149
144,kodiak,57.79,57.79,7.73,66,75,3.09,US,1650938982
145,hobart,-42.8794,-42.8794,16.79,71,40,2.06,AU,1650939131
146,lebu,-37.6167,-37.6167,13.15,80,100,12.49,CL,1650939153
147,severo-kurilsk,50.6789,50.6789,0.87,97,94,12.47,RU,1650939154
148,naze,28.3667,28.3667,24.51,82,22,7.87,JP,1650938929
149,qaanaaq,77.484,77.484,-14.33,62,21,3.35,GL,1650939058
150,mantua,45.1667,45.1667,12.81,86,96,1.34,IT,1650939158
151,ler,8.3018,8.3018,23.37,76,100,2.07,SS,1650939159
152,rorvik,64.8621,64.8621,3.4,60,100,9.64,NO,1650939092
153,victoria,22.2855,22.2855,29.42,84,1,3.13,HK,1650939163
154,faanui,-16.4833,-16.4833,27.72,70,15,4.59,PF,1650939146
155,lasa,46.6166,46.6166,5.94,97,97,0.86,IT,1650939165
156,karratha,-20.7377,-20.7377,28.56,38,97,3.87,AU,1650939167
157,iqaluit,63.7506,63.7506,-25.25,84,0,4.42,CA,1650939168
158,mwense,-10.3845,-10.3845,17.12,96,64,1.46,ZM,1650939171
159,castro,-24.7911,-24.7911,15.03,88,6,1.33,BR,1650939172
160,caravelas,-17.7125,-17.7125,24.19,83,0,1.8,BR,1650939174
161,saldanha,-33.0117,-33.0117,13.06,77,99,4.63,ZA,1650939175
